receipt_number,transaction_type,client_name,vendor_name,vendor_email,amount,date,is_exception,is_paper
R189834,Card,Patricia Brown,Hudson Group,hrodriguez@stafford.info,653.17,2024-06-15,False,False
R356441,Card,Lori Smith,"Gibson, Lopez and Nelson",wilsonjesus@sanford.com,763.51,2024-06-01,False,False
R202527,Card,Julie Howard,Johnson-Tanner,twright@miller.com,897.06,2024-04-09,True,True
R791131,Card,Karen Valencia,Hamilton LLC,fchen@james.com,264.27,2024-02-29,False,False
R60613,Card,Sierra Murphy,"Jones, Howell and Stewart",xleach@avila.biz,146.29,2024-04-29,False,True
R827688,Cheque,Frederick Ochoa,Turner and Sons,jessicalong@brown-jones.net,467.49,2024-02-07,False,False
R116854,Card,Jasmine Robbins,Campbell Inc,tammyperez@chavez-mejia.org,155.02,2024-02-21,False,False
R290049,Cheque,Timothy Bowen,"Todd, Wolf and Rodriguez",mitchellbennett@cardenas-washington.com,815.99,2024-03-01,False,False
R439763,Card,Ronald Harris,"Berry, Clark and Drake",cheyennewashington@johnson.com,819.24,2024-01-03,False,False
R843246,Card,Rita Goodwin,Hodge LLC,jacksonnicholas@brown.com,189.69,2024-05-14,False,True
R823894,Cheque,Andrew Patel,Gibbs-Dunlap,alex15@garcia-rice.com,415.45,2024-01-12,False,False
R390661,Cheque,Katherine Bowman,Morgan-Meyer,angelaturner@gibson-rowland.org,241.35,2024-08-21,False,False
R407054,Card,Valerie Hoover,Tran Ltd,brownmartin@martin-williams.org,620.87,2024-05-27,True,False
R753737,Card,Jose Cook,Blankenship PLC,michael20@daniels.net,265.31,2024-05-01,False,False
R886323,Card,Alexander Phillips,Garcia-Green,masonerica@perry.info,436.2,2024-07-28,False,False
R383748,Cheque,Kathleen Thomas,Stafford-Lopez,meyerjill@chase.com,976.37,2024-01-13,False,True
R373567,Cheque,Courtney Kim,Cruz-Fowler,iacevedo@galvan.com,534.25,2024-08-16,False,False
R552325,Cheque,Ashley Hoffman,"Daniels, Campbell and Diaz",pibarra@martinez.com,15.28,2024-09-14,False,False
R457294,Cheque,Jennifer Green,Murphy-Erickson,kconley@banks-grimes.com,881.41,2024-01-24,False,False
R559131,Card,Danielle Castillo,Vega Ltd,rcooper@blanchard.info,764.23,2024-09-05,False,False
R810682,Card,Deborah White,Reyes-Adkins,michaelmiller@scott.com,809.51,2024-06-07,False,False
R45630,Cheque,Daniel Pope,Brown-Casey,woodsdarryl@combs.biz,842.4,2024-10-03,False,False
R637990,Card,Mrs. Dawn Fletcher MD,Swanson Group,kennedybryan@anderson.com,897.26,2024-04-08,True,False
R480552,Cheque,Robert Miles,Brock Inc,christina34@wagner.info,653.82,2024-01-10,False,False
R628704,Cheque,Ryan Monroe,Jimenez-Fitzgerald,ydecker@mcfarland-andersen.org,90.15,2024-03-18,False,True
R941581,Cheque,Elijah Wade,Mccann-Martin,ortegastacy@oconnor-thompson.org,191.3,2024-03-30,False,False
R572977,Card,Katherine Taylor,"Best, Austin and Nelson",jonesnathan@walker.com,528.9,2024-05-18,False,False
R140625,Cheque,Joel Wiggins,"Kelley, Nguyen and Knight",gonzalezjoseph@oliver.com,678.7,2024-02-09,False,False
