receipt_number,transaction_type,client_name,vendor_name,vendor_email,amount,date,is_exception,is_paper
R189834,Card,Keren ,Hudson Group,kerenelisheba5@gmail.com,653.17,15-06-2024,False,False
R356441,Card,Chirag K Srinivas,,chiragks2003cr7@gmail.com,763.51,01-06-2024,False,False
R202527,Card,Vikhyath M B,Johnson-Tanner,vikhyathmb44@gmail.com,897.06,09-04-2024,True,True
R791131,Card,Keren Elisheba ,Hamilton LLC,elishebakeren@gmail.com,264.27,29-02-2024,False,False
R60613,Card,Sierra Murphy,"Jones, Howell and Stewart",xleach@avila.biz,146.29,29-04-2024,False,True
R116854,Card,Jasmine Robbins,Campbell Inc,tammyperez@chavez-mejia.org,155.02,21-02-2024,False,False
R439763,Card,Ronald Harris,"Berry, Clark and Drake",cheyennewashington@johnson.com,819.24,03-01-2024,False,False
R843246,Card,Rita Goodwin,Hodge LLC,jacksonnicholas@brown.com,189.69,14-05-2024,False,True
R407054,Card,Valerie Hoover,Tran Ltd,brownmartin@martin-williams.org,620.87,27-05-2024,True,False
R753737,Card,Jose Cook,Blankenship PLC,michael20@daniels.net,265.31,01-05-2024,False,False
R886323,Card,Alexander Phillips,Garcia-Green,masonerica@perry.info,436.2,28-07-2024,False,False
R559131,Card,Danielle Castillo,Vega Ltd,rcooper@blanchard.info,764.23,05-09-2024,False,False
R810682,Card,Deborah White,Reyes-Adkins,michaelmiller@scott.com,809.51,07-06-2024,False,False
R637990,Card,Mrs. Dawn Fletcher MD,Swanson Group,kennedybryan@anderson.com,897.26,08-04-2024,True,False
R572977,Card,Katherine Taylor,"Best, Austin and Nelson",jonesnathan@walker.com,528.9,18-05-2024,False,False
R770193,Card,Jonathan Baker,Meyer PLC,bsmith@francis-edwards.com,322.51,22-06-2024,True,False
R665844,Card,James Woods,Case LLC,bonniewilliams@chen-brown.com,984.25,24-05-2024,False,False
R426783,Card,Judy Martin,"Clark, Williamson and Brown",chris47@baker.com,700.42,09-04-2024,False,True
R799958,Card,Mariah Newman,Hall and Sons,christopheribarra@hernandez.biz,819.48,07-08-2024,False,False
R965110,Card,Nicole Austin,"Colon, Frazier and Snyder",wreed@griffin.com,502.17,21-08-2024,False,False
R77518,Card,Brian Sullivan,"Marquez, Ayala and Benton",harrisleroy@williams.com,232.17,07-03-2024,False,False
R616888,Card,Susan Caldwell,"Kaiser, Barnett and Page",jschultz@mullins.org,740.77,11-05-2024,True,False
R212121,Card,Michelle Kirby,Sheppard LLC,montgomerymichael@clay-humphrey.com,747.5,17-09-2024,False,True
R11698,Card,Eric Walls,Gilbert LLC,jbarnett@friedman.net,565.74,15-05-2024,False,False
R330101,Card,Steven Morrison,Abbott-Martin,christopher73@marks-hunter.com,390.81,06-08-2024,False,False
R911502,Card,Jose Farrell,Miller PLC,lorismith@jones.com,496.5,01-02-2024,False,False
R991697,Card,David Johnson,Evans Group,lthomas@lee.com,974.92,08-09-2024,False,False
R128756,Card,Carolyn Moore,White and Sons,michelletran@webb.info,872.93,25-06-2024,False,False
R764701,Card,Sue Shaffer,Benson-James,johnflores@bailey.com,521.44,21-06-2024,False,False
R597310,Card,Barry Maxwell,Washington Inc,benjaminmoore@morgan-oneill.com,123.18,29-01-2024,False,True
R512256,Card,Michael Sanchez,"Howell, Hughes and Warren",robertberry@smith.com,724.43,04-07-2024,False,True
R933935,Card,Jennifer Jacobson,Ortega-Campbell,paul95@taylor-johnson.com,219.62,13-03-2024,False,True
R730641,Card,Sharon Hobbs,Sanchez-Daniel,angela11@porter-knox.com,114.47,03-03-2024,False,False
R622644,Card,Jamie Duke,Barry Inc,sknight@campbell-robinson.com,756.01,16-02-2024,False,False
