receipt_number,transaction_type,client_name,vendor_name,vendor_email,amount,date,is_exception,is_paper
R827688,Cheque,Frederick Ochoa,Turner and Sons,jessicalong@brown-jones.net,467.49,07-02-2024,False,False
R290049,Cheque,Timothy Bowen,"Todd, Wolf and Rodriguez",mitchellbennett@cardenas-washington.com,815.99,01-03-2024,False,False
R823894,Cheque,Andrew Patel,Gibbs-Dunlap,alex15@garcia-rice.com,415.45,12-01-2024,False,False
R390661,Cheque,Katherine Bowman,Morgan-Meyer,angelaturner@gibson-rowland.org,241.35,21-08-2024,False,False
R383748,Cheque,Kathleen Thomas,Stafford-Lopez,meyerjill@chase.com,976.37,13-01-2024,False,True
R373567,Cheque,Courtney Kim,Cruz-Fowler,iacevedo@galvan.com,534.25,16-08-2024,False,False
R552325,Cheque,Ashley Hoffman,"Daniels, Campbell and Diaz",pibarra@martinez.com,15.28,14-09-2024,False,False
R457294,Cheque,Jennifer Green,Murphy-Erickson,kconley@banks-grimes.com,881.41,24-01-2024,False,False
R45630,Cheque,Daniel Pope,Brown-Casey,woodsdarryl@combs.biz,842.4,03-10-2024,False,False
R480552,Cheque,Robert Miles,Brock Inc,christina34@wagner.info,653.82,10-01-2024,False,False
R628704,Cheque,Ryan Monroe,Jimenez-Fitzgerald,ydecker@mcfarland-andersen.org,90.15,18-03-2024,False,True
R941581,Cheque,Elijah Wade,Mccann-Martin,ortegastacy@oconnor-thompson.org,191.3,30-03-2024,False,False
R140625,Cheque,Joel Wiggins,"Kelley, Nguyen and Knight",gonzalezjoseph@oliver.com,678.7,09-02-2024,False,False
R74104,Cheque,Samantha Fuller DDS,Smith-Davis,jsmith@frye.com,558.2,01-06-2024,False,False
R179203,Cheque,Courtney Sutton,Johnson Group,thomaschristina@garcia.com,614.82,21-05-2024,False,False
R276114,Cheque,Shannon Ford,Frye-Blanchard,smithsteven@garcia.com,284.48,12-03-2024,False,False
R246814,Cheque,Amanda Williams,Mcknight-Carr,heather56@cannon.org,148.18,08-02-2024,False,False
R405947,Cheque,Gina Carroll,"Ferguson, Patterson and Bryan",danielmurphy@rivera-ortiz.info,73.9,03-02-2024,False,False
R684613,Cheque,Frank Griffin,Lee Group,lori68@bryant.com,68.8,21-03-2024,True,False
R657655,Cheque,Daniel Stevens,"Leonard, Reed and Medina",baileyelizabeth@fowler-porter.org,947.84,07-03-2024,False,False
R513037,Cheque,Janet Meyer,White Ltd,cartermichael@hudson.com,266.76,26-01-2024,False,False
R354617,Cheque,Darlene Keller,"Moran, Vasquez and Dorsey",lpeters@jackson.com,214.9,09-02-2024,False,True
R70726,Cheque,Christopher Banks,Spencer-Phillips,bryanttaylor@herman.com,531.61,16-01-2024,False,False
R423667,Cheque,Terry Jimenez,"Fernandez, Doyle and Sanders",edwardsivan@perkins.com,628.11,13-02-2024,False,False
R841877,Cheque,Steven Banks,"Torres, Davis and Garcia",candace04@fuentes-arias.info,294.89,08-06-2024,False,False
R942570,Cheque,Patrick Brewer,Ramos Group,pateltimothy@hayes.com,550.19,15-01-2024,True,True
R943276,Cheque,Tyler Morgan,Garrett-Marshall,andrew35@owen-morse.info,363.15,11-05-2024,False,False
R869659,Cheque,Anthony Schneider,Butler-Hernandez,michelle00@brady-mcdonald.biz,332.07,19-02-2024,True,False
R960942,Cheque,Thomas Cruz,Brown Group,sara48@turner.com,563.19,30-04-2024,False,True
R745051,Cheque,Ronald Baker MD,"Ewing, Wilson and Garcia",sonia52@miller-bishop.org,143.23,01-01-2024,False,False
R167441,Cheque,Aaron Hernandez,"Hutchinson, Santos and Benjamin",brittanychen@williams.com,242.84,22-03-2024,False,True
R233645,Cheque,Michael Harrington,Soto-Ross,tinafriedman@lozano.biz,464.99,12-08-2024,False,False
R84782,Cheque,Jacqueline Townsend,Anderson-Thompson,katrinalopez@johnson.com,275.04,15-04-2024,True,False
R137153,Cheque,Diane Smith DDS,Maynard Group,tbranch@young.biz,137.33,10-03-2024,False,True
R373897,Cheque,Micheal Porter MD,Coleman Ltd,michaelmccormick@riddle-bennett.com,348.41,21-06-2024,False,False
R343500,Cheque,Patrick Lowe,Chavez-Evans,davislaura@contreras.com,57.88,14-02-2024,False,False
R919749,Cheque,Matthew Saunders,Rios-Ward,blynch@dyer-webb.com,42.6,08-09-2024,False,False
R541972,Cheque,Kelly Olsen,Higgins-Mayo,joshua06@ford-lopez.com,516.79,08-07-2024,False,False
R241538,Cheque,Jonathan Jackson,Mills Ltd,wigginsjeffrey@welch.com,347.08,23-05-2024,False,True
R94209,Cheque,John Hernandez,Cooper-Goodman,brendafrazier@west.com,114.61,01-05-2024,True,False
R45270,Cheque,Gavin Robertson,Duke-Brooks,wyork@clark.org,596.3,25-04-2024,False,False
R76442,Cheque,Sheri Reed,"Collins, Howell and Wells",raymondcarpenter@kelly.com,15.1,11-06-2024,False,False
R591595,Cheque,James Williams,Salas and Sons,davidbray@hunt-brooks.info,228.52,08-02-2024,False,True
R503001,Cheque,Amber Ramirez,Hurst-Day,laurie44@alvarez.com,296.12,23-02-2024,False,True
R206032,Cheque,Daniel Walters,Woods Group,ndixon@williams-shelton.biz,549.47,25-07-2024,False,False
R728105,Cheque,Sara Rocha,Hart Ltd,alexandra31@buchanan-rose.org,378.87,23-01-2024,False,False
R281614,Cheque,Mr. Daniel Garcia,Jones-Clarke,johnsonjohn@scott.biz,956.11,23-06-2024,False,True
R408867,Cheque,Adrian Lang,Esparza-Torres,malik69@glass.com,932.79,12-04-2024,False,False
R129962,Cheque,Sarah Black,"Williams, Heath and Ross",justin20@wise.com,72.57,16-08-2024,False,False
R755669,Cheque,Tracy Pittman,Tran Group,marylucas@may-lewis.com,559.29,14-06-2024,False,False
R505615,Cheque,Kevin Lane,"Richardson, Wilson and Stevens",josephrodgers@griffith.com,914.1,03-05-2024,False,False
R799210,Cheque,James Phillips,Lucero-Wright,christopher13@hall.net,46.82,07-05-2024,False,False
R617252,Cheque,Timothy Johnson,"Williams, Santos and Carter",amy75@brown-jackson.net,250.02,15-04-2024,False,False
R911978,Cheque,James Morris,Berry PLC,bhernandez@williams-crawford.com,665.91,23-03-2024,False,False
R907744,Cheque,Stephanie Olson,"Cohen, Anderson and Garcia",melanie19@hays.com,339.59,04-03-2024,False,False
R101287,Cheque,Casey Holmes,Hernandez Ltd,msmith@hoffman.com,398.46,11-05-2024,False,False
R569556,Cheque,Sarah Oliver,Spencer Inc,oscarochoa@jones-palmer.org,23.3,01-06-2024,False,False
R131431,Cheque,Ashley Roman,Jackson Inc,welchwilliam@johnson.com,813.68,29-08-2024,False,False
R553416,Cheque,Lauren Perry,Newton-Nguyen,hernandezjohn@henry.com,54.21,02-06-2024,False,False
R122355,Cheque,David Aguilar,Davis-Jackson,fcook@wilson.com,728.28,09-01-2024,False,False
R907263,Cheque,John Macdonald,Wang Inc,dfowler@house.com,926.91,24-04-2024,False,False
R681599,Cheque,James Nelson,Estes-Lee,nicole95@terry-duncan.com,687.83,04-01-2024,True,True
R545296,Cheque,Scott Garner,Chavez Ltd,kathy68@jackson-ramos.com,230.17,20-01-2024,False,False
R395283,Cheque,Thomas Hudson,Harper Ltd,swatts@johnson.info,338.17,16-03-2024,False,False
R162089,Cheque,Scott Mclean,"Huynh, Cox and Weaver",jacquelinealexander@beck.com,929.03,21-01-2024,False,False
R29363,Cheque,Logan Carlson,Collins-Small,ellispaul@saunders.org,824.04,19-04-2024,False,False
R527348,Cheque,Andrea Owen,Russell-Booth,david87@ray.com,836.85,15-05-2024,False,False
R847506,Cheque,Kevin Logan,Morrison and Sons,davidrodriguez@carter.com,794.93,18-06-2024,False,False
R166836,Cheque,Melinda Holden,"Smith, Hunt and Richards",nealbrett@perez.com,812.31,06-05-2024,False,False
R532595,Cheque,Robert Gay,Sanchez Inc,jsexton@walker.info,513.24,02-04-2024,False,False
R595122,Cheque,Logan Williams,Rodriguez Ltd,ehuffman@robinson.com,865.82,24-08-2024,False,True
R801752,Cheque,Victoria Cowan,Duke-Todd,georgejohnson@gardner.com,672.06,11-03-2024,False,False
R208778,Cheque,Sean Gilbert,Hill Inc,sabrinagregory@lee-coleman.org,826.68,13-03-2024,False,True
R219744,Cheque,Mrs. Robin Jenkins MD,Turner-Anderson,amyfreeman@west-chavez.com,787.61,28-04-2024,False,False
R253015,Cheque,Michael Jackson,Fitzpatrick PLC,cruzcharles@cervantes.net,651.62,18-02-2024,True,False
R773716,Cheque,Daniel Smith,Wood-Edwards,amanda28@lopez.com,832.43,27-05-2024,False,False
R814008,Cheque,Adam Jones,Reeves LLC,esmith@parker-lopez.com,461.84,28-02-2024,False,True
R842167,Cheque,Anna Hill,"Best, Little and Sullivan",philip10@oliver.biz,600.12,17-05-2024,False,False
R403808,Cheque,John Oliver,Mckee-Lester,ericmiller@castillo-murphy.com,833.45,18-05-2024,False,False
R165617,Cheque,Denise Strickland,Scott Inc,mathismindy@brown.com,26.61,03-09-2024,False,False
R493261,Cheque,Shelly Stewart,Merritt-Brown,rebecca37@hernandez.com,19.79,16-03-2024,False,False
R546561,Cheque,Stephanie Estrada,"Underwood, Mitchell and Davis",annaesparza@morris.com,633.3,02-03-2024,False,False
R660889,Cheque,Ashley Johnson,Moses-Larsen,adixon@hill.net,229.66,07-06-2024,True,False
R316433,Cheque,Lori Martinez,Cummings-Miller,thompsonchris@george.org,397.34,21-07-2024,True,False
R259720,Cheque,Richard Mann,"Martinez, Williams and Miller",bspencer@torres.com,882.15,01-02-2024,False,False
R241521,Cheque,John Long,Costa-Maldonado,cohendestiny@ford-james.com,100.82,16-06-2024,False,False
R981101,Cheque,Karen Mccoy,Valentine Group,wallacepaul@wilson-horne.com,404.38,05-04-2024,True,True
R215605,Cheque,Gregory Gibson,"Spears, Perez and Hines",ambergarcia@roach.com,263.53,06-05-2024,True,True
R375541,Cheque,Jeremy Stokes,Franco-Murray,wsolis@knight-green.com,177.59,16-06-2024,False,False
R586171,Cheque,Jessica Martinez,Davis-Sullivan,deborah60@barton.biz,417.73,06-03-2024,True,False
R91851,Cheque,Mrs. Nichole Reid MD,Vega Group,ssmith@smith.com,748.71,11-01-2024,False,False
R300932,Cheque,Maria Adams,Brown Inc,kcortez@king.com,490.26,24-01-2024,False,False
R598413,Cheque,Lauren Ayala,Harris and Sons,davisedward@cortez.com,602.94,15-09-2024,False,False
R370845,Cheque,Brian Williams,Adams-James,robin82@copeland-joseph.com,11.2,02-06-2024,False,False
R822719,Cheque,Veronica Page,Gay-Armstrong,jaredjones@thompson.com,317.04,26-08-2024,False,False
R517913,Cheque,Mark Orozco,"Donaldson, Erickson and Brown",adam85@alvarez.net,819.0,02-04-2024,False,False
R345829,Cheque,Douglas Garcia,"Knox, Daniels and Cabrera",jonesmichael@sanders-west.com,311.29,01-01-2024,False,False
R293073,Cheque,Melinda Lawrence,Thomas-Martin,shannon19@johnson.com,525.4,22-07-2024,False,False
R462062,Cheque,Daniel Sanchez,"Burgess, Clarke and Peterson",jasonbonilla@swanson.com,496.62,07-03-2024,False,False
R369856,Cheque,Lindsey Ayala,Mckee-Smith,barronhenry@hernandez.com,189.43,31-01-2024,False,False
R994569,Cheque,Christopher Blackburn,Guzman and Sons,uhayes@peters.com,138.09,31-01-2024,False,True
R8328,Cheque,Michelle Gonzalez,Berry-Sanders,ataylor@powell.net,140.25,05-09-2024,False,False
R529210,Cheque,Rachel Jacobs,Cardenas Ltd,clee@munoz-hale.com,983.5,15-07-2024,False,False
