receipt_number,transaction_type,client_name,vendor_name,vendor_email,amount,date,is_exception,is_paper,template_name
R189834,Card,Patricia Brown,Hudson Group,kerenelisheba5@gmail.com,653.17,15-06-2024,False,False,email_template_R189834.txt
R356441,Card,Lori Smith,,chiragks2003cr7@gmail.com,763.51,01-06-2024,False,False,email_template_R356441.txt
R202527,Card,Julie Howard,Johnson-Tanner,vikhyathmb44@gmail.com,897.06,09-04-2024,True,True,email_template_R202527.txt
R791131,Card,Karen Valencia,Hamilton LLC,elishebakeren@gmail.com,264.27,29-02-2024,False,False,email_template_R791131.txt
R60613,Card,Sierra Murphy,"Jones, Howell and Stewart",xleach@avila.biz,146.29,29-04-2024,False,True,email_template_R60613.txt
R827688,Cheque,Frederick Ochoa,Turner and Sons,jessicalong@brown-jones.net,467.49,07-02-2024,False,False,email_template_R827688.txt
R116854,Card,Jasmine Robbins,Campbell Inc,tammyperez@chavez-mejia.org,155.02,21-02-2024,False,False,email_template_R116854.txt
R290049,Cheque,Timothy Bowen,"Todd, Wolf and Rodriguez",mitchellbennett@cardenas-washington.com,815.99,01-03-2024,False,False,email_template_R290049.txt
R439763,Card,Ronald Harris,"Berry, Clark and Drake",cheyennewashington@johnson.com,819.24,03-01-2024,False,False,email_template_R439763.txt
R843246,Card,Rita Goodwin,Hodge LLC,jacksonnicholas@brown.com,189.69,14-05-2024,False,True,email_template_R843246.txt
R823894,Cheque,Andrew Patel,Gibbs-Dunlap,alex15@garcia-rice.com,415.45,12-01-2024,False,False,email_template_R823894.txt
R390661,Cheque,Katherine Bowman,Morgan-Meyer,angelaturner@gibson-rowland.org,241.35,21-08-2024,False,False,email_template_R390661.txt
R407054,Card,Valerie Hoover,Tran Ltd,brownmartin@martin-williams.org,620.87,27-05-2024,True,False,email_template_R407054.txt
R753737,Card,Jose Cook,Blankenship PLC,michael20@daniels.net,265.31,01-05-2024,False,False,email_template_R753737.txt
R886323,Card,Alexander Phillips,Garcia-Green,masonerica@perry.info,436.2,28-07-2024,False,False,email_template_R886323.txt
R383748,Cheque,Kathleen Thomas,Stafford-Lopez,meyerjill@chase.com,976.37,13-01-2024,False,True,email_template_R383748.txt
R373567,Cheque,Courtney Kim,Cruz-Fowler,iacevedo@galvan.com,534.25,16-08-2024,False,False,email_template_R373567.txt
R552325,Cheque,Ashley Hoffman,"Daniels, Campbell and Diaz",pibarra@martinez.com,15.28,14-09-2024,False,False,email_template_R552325.txt
R457294,Cheque,Jennifer Green,Murphy-Erickson,kconley@banks-grimes.com,881.41,24-01-2024,False,False,email_template_R457294.txt
R559131,Card,Danielle Castillo,Vega Ltd,rcooper@blanchard.info,764.23,05-09-2024,False,False,email_template_R559131.txt
R810682,Card,Deborah White,Reyes-Adkins,michaelmiller@scott.com,809.51,07-06-2024,False,False,email_template_R810682.txt
R45630,Cheque,Daniel Pope,Brown-Casey,woodsdarryl@combs.biz,842.4,03-10-2024,False,False,email_template_R45630.txt
R637990,Card,Mrs. Dawn Fletcher MD,Swanson Group,kennedybryan@anderson.com,897.26,08-04-2024,True,False,email_template_R637990.txt
R480552,Cheque,Robert Miles,Brock Inc,christina34@wagner.info,653.82,10-01-2024,False,False,email_template_R480552.txt
R628704,Cheque,Ryan Monroe,Jimenez-Fitzgerald,ydecker@mcfarland-andersen.org,90.15,18-03-2024,False,True,email_template_R628704.txt
R941581,Cheque,Elijah Wade,Mccann-Martin,ortegastacy@oconnor-thompson.org,191.3,30-03-2024,False,False,email_template_R941581.txt
R572977,Card,Katherine Taylor,"Best, Austin and Nelson",jonesnathan@walker.com,528.9,18-05-2024,False,False,email_template_R572977.txt
R140625,Cheque,Joel Wiggins,"Kelley, Nguyen and Knight",gonzalezjoseph@oliver.com,678.7,09-02-2024,False,False,email_template_R140625.txt
R770193,Card,Jonathan Baker,Meyer PLC,bsmith@francis-edwards.com,322.51,22-06-2024,True,False,email_template_R770193.txt
R74104,Cheque,Samantha Fuller DDS,Smith-Davis,jsmith@frye.com,558.2,01-06-2024,False,False,email_template_R74104.txt
R665844,Card,James Woods,Case LLC,bonniewilliams@chen-brown.com,984.25,24-05-2024,False,False,email_template_R665844.txt
R179203,Cheque,Courtney Sutton,Johnson Group,thomaschristina@garcia.com,614.82,21-05-2024,False,False,email_template_R179203.txt
R276114,Cheque,Shannon Ford,Frye-Blanchard,smithsteven@garcia.com,284.48,12-03-2024,False,False,email_template_R276114.txt
R246814,Cheque,Amanda Williams,Mcknight-Carr,heather56@cannon.org,148.18,08-02-2024,False,False,email_template_R246814.txt
R405947,Cheque,Gina Carroll,"Ferguson, Patterson and Bryan",danielmurphy@rivera-ortiz.info,73.9,03-02-2024,False,False,email_template_R405947.txt
R684613,Cheque,Frank Griffin,Lee Group,lori68@bryant.com,68.8,21-03-2024,True,False,email_template_R684613.txt
R657655,Cheque,Daniel Stevens,"Leonard, Reed and Medina",baileyelizabeth@fowler-porter.org,947.84,07-03-2024,False,False,email_template_R657655.txt
R426783,Card,Judy Martin,"Clark, Williamson and Brown",chris47@baker.com,700.42,09-04-2024,False,True,email_template_R426783.txt
R513037,Cheque,Janet Meyer,White Ltd,cartermichael@hudson.com,266.76,26-01-2024,False,False,email_template_R513037.txt
R799958,Card,Mariah Newman,Hall and Sons,christopheribarra@hernandez.biz,819.48,07-08-2024,False,False,email_template_R799958.txt
R354617,Cheque,Darlene Keller,"Moran, Vasquez and Dorsey",lpeters@jackson.com,214.9,09-02-2024,False,True,email_template_R354617.txt
R965110,Card,Nicole Austin,"Colon, Frazier and Snyder",wreed@griffin.com,502.17,21-08-2024,False,False,email_template_R965110.txt
R77518,Card,Brian Sullivan,"Marquez, Ayala and Benton",harrisleroy@williams.com,232.17,07-03-2024,False,False,email_template_R77518.txt
R70726,Cheque,Christopher Banks,Spencer-Phillips,bryanttaylor@herman.com,531.61,16-01-2024,False,False,email_template_R70726.txt
R423667,Cheque,Terry Jimenez,"Fernandez, Doyle and Sanders",edwardsivan@perkins.com,628.11,13-02-2024,False,False,email_template_R423667.txt
R616888,Card,Susan Caldwell,"Kaiser, Barnett and Page",jschultz@mullins.org,740.77,11-05-2024,True,False,email_template_R616888.txt
R212121,Card,Michelle Kirby,Sheppard LLC,montgomerymichael@clay-humphrey.com,747.5,17-09-2024,False,True,email_template_R212121.txt
R841877,Cheque,Steven Banks,"Torres, Davis and Garcia",candace04@fuentes-arias.info,294.89,08-06-2024,False,False,email_template_R841877.txt
R11698,Card,Eric Walls,Gilbert LLC,jbarnett@friedman.net,565.74,15-05-2024,False,False,email_template_R11698.txt
R942570,Cheque,Patrick Brewer,Ramos Group,pateltimothy@hayes.com,550.19,15-01-2024,True,True,email_template_R942570.txt
R943276,Cheque,Tyler Morgan,Garrett-Marshall,andrew35@owen-morse.info,363.15,11-05-2024,False,False,email_template_R943276.txt
R869659,Cheque,Anthony Schneider,Butler-Hernandez,michelle00@brady-mcdonald.biz,332.07,19-02-2024,True,False,email_template_R869659.txt
R330101,Card,Steven Morrison,Abbott-Martin,christopher73@marks-hunter.com,390.81,06-08-2024,False,False,email_template_R330101.txt
R911502,Card,Jose Farrell,Miller PLC,lorismith@jones.com,496.5,01-02-2024,False,False,email_template_R911502.txt
R960942,Cheque,Thomas Cruz,Brown Group,sara48@turner.com,563.19,30-04-2024,False,True,email_template_R960942.txt
R991697,Card,David Johnson,Evans Group,lthomas@lee.com,974.92,08-09-2024,False,False,email_template_R991697.txt
R745051,Cheque,Ronald Baker MD,"Ewing, Wilson and Garcia",sonia52@miller-bishop.org,143.23,01-01-2024,False,False,email_template_R745051.txt
R128756,Card,Carolyn Moore,White and Sons,michelletran@webb.info,872.93,25-06-2024,False,False,email_template_R128756.txt
R764701,Card,Sue Shaffer,Benson-James,johnflores@bailey.com,521.44,21-06-2024,False,False,email_template_R764701.txt
R167441,Cheque,Aaron Hernandez,"Hutchinson, Santos and Benjamin",brittanychen@williams.com,242.84,22-03-2024,False,True,email_template_R167441.txt
R233645,Cheque,Michael Harrington,Soto-Ross,tinafriedman@lozano.biz,464.99,12-08-2024,False,False,email_template_R233645.txt
R84782,Cheque,Jacqueline Townsend,Anderson-Thompson,katrinalopez@johnson.com,275.04,15-04-2024,True,False,email_template_R84782.txt
R597310,Card,Barry Maxwell,Washington Inc,benjaminmoore@morgan-oneill.com,123.18,29-01-2024,False,True,email_template_R597310.txt
R137153,Cheque,Diane Smith DDS,Maynard Group,tbranch@young.biz,137.33,10-03-2024,False,True,email_template_R137153.txt
R373897,Cheque,Micheal Porter MD,Coleman Ltd,michaelmccormick@riddle-bennett.com,348.41,21-06-2024,False,False,email_template_R373897.txt
R512256,Card,Michael Sanchez,"Howell, Hughes and Warren",robertberry@smith.com,724.43,04-07-2024,False,True,email_template_R512256.txt
R343500,Cheque,Patrick Lowe,Chavez-Evans,davislaura@contreras.com,57.88,14-02-2024,False,False,email_template_R343500.txt
R919749,Cheque,Matthew Saunders,Rios-Ward,blynch@dyer-webb.com,42.6,08-09-2024,False,False,email_template_R919749.txt
R933935,Card,Jennifer Jacobson,Ortega-Campbell,paul95@taylor-johnson.com,219.62,13-03-2024,False,True,email_template_R933935.txt
R541972,Cheque,Kelly Olsen,Higgins-Mayo,joshua06@ford-lopez.com,516.79,08-07-2024,False,False,email_template_R541972.txt
R730641,Card,Sharon Hobbs,Sanchez-Daniel,angela11@porter-knox.com,114.47,03-03-2024,False,False,email_template_R730641.txt
R241538,Cheque,Jonathan Jackson,Mills Ltd,wigginsjeffrey@welch.com,347.08,23-05-2024,False,True,email_template_R241538.txt
R622644,Card,Jamie Duke,Barry Inc,sknight@campbell-robinson.com,756.01,16-02-2024,False,False,email_template_R622644.txt
R891152,Card,Robert Rojas,Wallace-Hall,jeffrey23@miller.net,721.13,15-08-2024,False,False,email_template_R891152.txt
R271121,Card,Timothy Perry,"Williams, Kent and Brooks",bwhitney@russell-patterson.net,428.3,10-09-2024,False,False,email_template_R271121.txt
R94209,Cheque,John Hernandez,Cooper-Goodman,brendafrazier@west.com,114.61,01-05-2024,True,False,email_template_R94209.txt
R45270,Cheque,Gavin Robertson,Duke-Brooks,wyork@clark.org,596.3,25-04-2024,False,False,email_template_R45270.txt
R841305,Card,Kelly Hayes,Adams-Ramirez,jesus72@schwartz.com,303.74,07-02-2024,False,False,email_template_R841305.txt
R76442,Cheque,Sheri Reed,"Collins, Howell and Wells",raymondcarpenter@kelly.com,15.1,11-06-2024,False,False,email_template_R76442.txt
R287521,Card,Jennifer Gonzalez,Rogers Inc,huertalaura@stone-thomas.net,132.27,13-02-2024,False,False,email_template_R287521.txt
R554210,Card,Erica Carter,Rogers LLC,roberto31@morris.com,918.1,16-06-2024,False,False,email_template_R554210.txt
